Entity,Code,Year,exported_deforestation
Afghanistan,AFG,2005,2.296826597
Afghanistan,AFG,2006,1.819899915
Afghanistan,AFG,2007,0.964286132
Afghanistan,AFG,2008,0
Afghanistan,AFG,2009,0
Afghanistan,AFG,2010,0
Afghanistan,AFG,2011,0
Afghanistan,AFG,2012,0
Afghanistan,AFG,2013,0.00236122
Albania,ALB,2005,38.67139803
Albania,ALB,2006,29.54814234
Albania,ALB,2007,24.95767252
Albania,ALB,2008,21.71270176
Albania,ALB,2009,4.555236287
Albania,ALB,2010,7.115003414
Albania,ALB,2011,6.380156373
Albania,ALB,2012,7.200615184
Albania,ALB,2013,7.464269733
Algeria,DZA,2005,4.631747574
Algeria,DZA,2006,10.22509823
Algeria,DZA,2007,10.60637639
Algeria,DZA,2008,13.95267414
Algeria,DZA,2009,27.47551436
Algeria,DZA,2010,46.64418309
Algeria,DZA,2011,13.41564262
Algeria,DZA,2012,16.92532356
Algeria,DZA,2013,2.591237817
Angola,AGO,2005,4.600366774
Angola,AGO,2006,4.669240206
Angola,AGO,2007,62.33420996
Angola,AGO,2008,41.87585301
Angola,AGO,2009,30.20508026
Angola,AGO,2010,24.59186023
Angola,AGO,2011,38.99830536
Angola,AGO,2012,57.79783815
Angola,AGO,2013,32.41981569
Argentina,ARG,2005,134980.0675
Argentina,ARG,2006,141908.4237
Argentina,ARG,2007,136811.8807
Argentina,ARG,2008,148212.7845
Argentina,ARG,2009,178389.051
Argentina,ARG,2010,155636.71
Argentina,ARG,2011,200074.2666
Argentina,ARG,2012,250033.9461
Argentina,ARG,2013,166121.8661
Armenia,ARM,2005,2.718449907
Armenia,ARM,2006,3.880054131
Armenia,ARM,2007,3.901232379
Armenia,ARM,2008,1.407624769
Armenia,ARM,2009,1.485804806
Armenia,ARM,2010,2.33509221
Armenia,ARM,2011,1.068930157
Armenia,ARM,2012,0.708848752
Armenia,ARM,2013,0.605285908
Aruba,ABW,2005,0
Aruba,ABW,2006,0
Aruba,ABW,2007,0
Aruba,ABW,2008,0
Aruba,ABW,2009,0
Aruba,ABW,2010,0
Aruba,ABW,2011,0
Aruba,ABW,2012,0
Aruba,ABW,2013,0
Australia,AUS,2005,35067.82241
Australia,AUS,2006,32969.44934
Australia,AUS,2007,26702.75185
Australia,AUS,2008,16106.68287
Australia,AUS,2009,18281.77638
Australia,AUS,2010,20532.10167
Australia,AUS,2011,17424.16751
Australia,AUS,2012,15317.46482
Australia,AUS,2013,37619.54027
Austria,AUT,2005,0
Austria,AUT,2006,0
Austria,AUT,2007,0
Austria,AUT,2008,0
Austria,AUT,2009,0
Austria,AUT,2010,0
Austria,AUT,2011,0
Austria,AUT,2012,0
Austria,AUT,2013,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0
Bahamas,BHS,2005,0
Bahamas,BHS,2006,0
Bahamas,BHS,2007,0
Bahamas,BHS,2008,4.218463387
Bahamas,BHS,2009,5.949136044
Bahamas,BHS,2010,2.802871989
Bahamas,BHS,2011,1.298815578
Bahamas,BHS,2012,0.246724529
Bahamas,BHS,2013,0.110200919
Bahrain,BHR,2005,0
Bahrain,BHR,2006,0
Bahrain,BHR,2007,0
Bahrain,BHR,2008,0
Bahrain,BHR,2009,0
Bahrain,BHR,2010,0
Bahrain,BHR,2011,0
Bahrain,BHR,2012,0
Bahrain,BHR,2013,0
Bangladesh,BGD,2005,3.477594945
Bangladesh,BGD,2006,2.944968751
Bangladesh,BGD,2007,1.057308463
Bangladesh,BGD,2008,0.94635671
Bangladesh,BGD,2009,3.685551137
Bangladesh,BGD,2010,5.973595999
Bangladesh,BGD,2011,5.685423762
Bangladesh,BGD,2012,6.307400742
Bangladesh,BGD,2013,14.87351772
Barbados,BRB,2005,0.006729281
Barbados,BRB,2006,0.013770575
Barbados,BRB,2007,0.031980879
Barbados,BRB,2008,0.111261727
